Name,Rating,Pricing,Number of Reviews
The Stillery,4.4,N/A,3427
Puckett's Restaurant - Nashville,3.9,N/A,3292
Sixty Vines,4.5,N/A,946
The Twelve Thirty Club,4.3,N/A,793
5th & Taylor,4.4,N/A,1388
The Hampton Social - Nashville,4.3,N/A,1475
Skull's Rainbow Room,4.5,N/A,1333
Hattie B’s Hot Chicken - Nashville - Midtown,4.4,N/A,7285
Rolf and Daughters,4.3,N/A,1018
Bourbon Steak by Michael Mina,4.5,N/A,766
Martin's Bar-B-Que Joint,4.1,N/A,3020
The Optimist - Nashville,4.5,N/A,391
Husk,4.0,N/A,1815
Jeff Ruby's Steakhouse- Nashville,4.5,N/A,653
Peg Leg Porker,4.3,N/A,3496
Acme Feed & Seed,3.9,N/A,1946
Milk and Honey Nashville,4.2,N/A,2724
Hawkers Asian Street Food,4.4,N/A,1072
etch,4.5,N/A,1699
Blanco Cocina + Cantina,4.5,N/A,334
The Southern Steak & Oyster,4.1,N/A,2544
Pinewood Social,4.1,N/A,2218
Henrietta Red,4.3,N/A,546
The Mockingbird Nashville,4.2,N/A,690
Hattie B’s Hot Chicken - Nashville - Lower Broadway,4.4,N/A,817
Bakersfield Nashville,4.5,N/A,1428
The Row,3.9,N/A,1747
Barcelona Wine Bar,4.5,N/A,754
Oak Steakhouse,4.4,N/A,432
Stateside Kitchen,4.1,N/A,323
Adele's - Nashville,4.0,N/A,1180
Butchertown Hall,3.8,N/A,920
Bastion,4.5,N/A,252
Kayne Prime,4.2,N/A,1229
Deacon's New South,4.1,N/A,343
Eddie V's Prime Seafood,4.5,N/A,333
House of Cards,3.8,N/A,505
The Chef and I,4.4,N/A,599
Sedona Taphouse,4.4,N/A,468
O-Ku,4.4,N/A,391
The Catbird Seat,4.6,N/A,472
DeSano Pizza Bakery,4.3,N/A,1157
Trattoria Il Mulino,3.9,N/A,454
Butcher & Bee,4.1,N/A,1111
Chauhan Ale & Masala House,4.2,N/A,1348
Sambuca,3.8,N/A,801
Stock & Barrel,4.5,N/A,310
Miranda Lambert's Casa Rosa,3.9,N/A,461
The Farm House,4.1,N/A,938
The Standard At The Smith House,4.3,N/A,368
